Title,Description,urls
 Exploring ES6: Upgrade to the Next Version of JavaScript,"This book contains reliable and in-depth information on ECMAScript 6, the next version of JavaScript. If you are a JavaScript developer with basic development experience, and now want to learn about the latest features of JavaScript, then this book is for you.",https://freecomputerbooks.com/Exploring-ES6.html
 Deep Learning with JavaScript: Neural Networks in TensorFlow.js,"This book shows developers how they can bring Deep Learning technology to the web. Written by the main authors of the TensorFlow library, it provides fascinating use cases and in-depth instruction for deep learning apps in JavaScript in your browser or on Node.",https://freecomputerbooks.com/Deep-Learning-with-JavaScript.html
 Neural Networks with JavaScript Succinctly (James McCaffrey ),"This book leads you through the fundamental concepts of neural networks, including its architecture, its input-output, tanh and softmax activation, back-propagation, error and accuracy, normalization and encoding, and model interpretation.",https://freecomputerbooks.com/Neural-Networks-with-JavaScript-Succinctly.html
" The Past, Present, and Future of JavaScript (Axel Rauschmayer)",It explains how the combination of several technologies and opportunities in the past 15 years turned JavaScript's fortunes. Its phenomenal rise from a simple client-side scripting tool to a versatile and flexible programming language exceeded everyone's expectations.,https://freecomputerbooks.com/The-Past-Present-and-Future-of-JavaScript.html
 JavaScript Essentials (Neil Smyth),"The purpose of this book is to provide the essentials of JavaScript so that anyone with a web site can use this powerful scripting language quickly and effectively without having to learn things that, whilst within the capabilities of JavaScript.",https://freecomputerbooks.com/JavaScript-Essentials.html
 Programming Persistent Memory: A Comprehensive Guide,"The book explains fundamental concepts, provides an introduction to Persistent Memory programming APIs for C, C++, JavaScript, and other languages, discusses RMDA with persistent memory; reviews security features; and presents many examples.",https://freecomputerbooks.com/Programming-Persistent-Memory.html
 Exploring ES2018 and ES2019 (Axel Rauschmayer),"This book covers what's new in two versions of JavaScript: ECMAScript 2018 and 2019. You will understand the more complex sides of JavaScript such as the inheritance model, low-level memory management, multithreaded environments, and web workers.",https://freecomputerbooks.com/Exploring-ES2018-and-ES2019.html
 Exploring ES2016 and ES2017 (Axel Rauschmayer),"This book is about ECMAScript 2016 and ECMAScript 2017, new versions of JavaScript. It only covers what's new in those versions.",https://freecomputerbooks.com/Exploring-ES2016-and-ES2017.html
 The JavaScript Way (Baptiste Pesquet),"This book aims to be a useful companion for anyone wishing to (re)discover the many facets of JavaScript. Numerous brain cycles were spent to make it Beginner-friendly yet comprehensive, Standards-aligned, Hands-on, and Easy to follow.",https://freecomputerbooks.com/The-JavaScript-Way.html
 Practical Modern JavaScript: Dive into ES6 and the Future,"This book gets you started, bringing together concepts that are helpful to understand before tackling your next modern JavaScript app. You'll learn about the scope and challenges that await you in the world of modern web development.",https://freecomputerbooks.com/Practical-Modern-JavaScript.html
 ECMAScript 6 Succinctly (Matthew Duffield),This book is a concise introduction to ECMAScript 6 (ES6). It teaches you how to develop applications using all of those ECMAScript 6 (ES6) new functionality and features. You can also target browsers that don't even support ES6 yet using a transpiler.,https://freecomputerbooks.com/ECMAScript-6-Succinctly.html
 O'Reilly® High Performance Browser Networking (Ilya Grigorik),"This book provides a hands-on overview of what every web developer needs to know about the various types of networks (WiFi, 3G/4G), transport protocols (UDP, TCP, and TLS), application protocols (HTTP/1.1, HTTP/2), and APIs available in the browser.",https://freecomputerbooks.com/High-Performance-Browser-Networking.html
 Composing Software: Functional and Object in JavaScript,All software design is composition: the act of breaking complex problems down into smaller problems and composing those solutions. Most developers have a limited understanding of compositional techniques. It's time for that to change.,https://freecomputerbooks.com/Composing-Software.html
 WebGL Insights (Patrick Cozzi),This book shares experience-backed lessons learned by the WebGL community. It presents proven techniques that will be helpful to both intermediate and advanced WebGL developers. It demonstrates the breadth and depth of WebGL.,https://freecomputerbooks.com/WebGL-Insights.html
 O'Reilly® The Problem with Native JavaScript APIs (N. C. Zakas),"It provides a case study to show how different browsers can develop native APIs for the same specification and still end up with different interpretations. You'll discover how these APIs can tie your code to specific browsers, forcing you to upgrade application logic whenever new browsers and new browser versions are released.",https://freecomputerbooks.com/The-Problem-with-Native-JavaScript-APIs.html
 The TypeScript Handbook (Microsoft),Intended to be a comprehensive document that explains TypeScript to everyday programmers. Read it by going from top to bottom in the left-hand navigation. Each chapter or page to provide you with a strong understanding of the given concepts.,https://freecomputerbooks.com/The-TypeScript-Handbook.htm
 Tackling TypeScript: Upgrading from JavaScript,"If you're a programmer with intermediate JavaScript experience, this book will get you a quick start for TypeScript that teaches you the essentials quickly and digs deeper into the language and covers many important topics in detail.",https://freecomputerbooks.com/Tackling-TypeScript-Upgrading-from-JavaScript.html
 TypeScript in 50 Lessons (Stefan Baumgartner),"This book breaks down the quirks of TypeScript into short, manageable lessons. You’ll make sense of TypeScript concepts, tooling for TypeScript and how to get most out of it without learning a new language. Everything TypeScript explained, from start to finish.",https://freecomputerbooks.com/TypeScript-in-50-Lessons.html
 TypeScript Deep Dive (Basarat Ali Syed),"This book is an exploration of TypeScript, which is a superset of JavaScript. The first part of the book explains to you what TypeScript is and what it is used for. You will also learn how it is related to JavaScript.",https://freecomputerbooks.com/TypeScript-Deep-Dive.html
 TypeScript Succinctly: The .NET approach to JavaScript,"This book teaches you how TypeScript provides optional static typing and classes to JavaScript development, how to create and load modules, and how to work with existing JavaScript libraries through ambient declarations.",https://freecomputerbooks.com/TypeScript-Succinctly.html
 TypeScript Accelerated (James Porter),"This book embraces new technologies to allow you to learn with interactive learning Apps and other resources like books, quizzes and more. They aim to overcome the 'Google Effect' and achieve genuine fluency with Modern Software Development technologies.",https://freecomputerbooks.com/TypeScript-Accelerated.html
 TypeScript for C# Programmers (Steve Fenton),This book is aimed at .NET programmers and explains key concepts as well as similarities and differences between TypeScript and C#. There is a quick start guide in the first chapter that introduces the syntax.,https://freecomputerbooks.com/TypeScript-for-C-Sharp-Programmers.html
 Human JavaScript: For Simple but Powerful JavaScript Apps,"This is a book about a specific set of JavaScript tools, patterns, and approaches that we feel are optimized for people. These approaches enable our team to quickly build and deliver high-quality JavaScript applications for humans ...",https://freecomputerbooks.com/Human-JavaScript.html
 JavaScript For Cats (Maxwell Ogden),"So don't be a scaredy-cat! The absolute worst thing that will happen is that you might have to refresh this page in your web browser if you get stuck. Don't worry though, this will happen very rarely.",https://freecomputerbooks.com/JavaScript-For-Cats.html
" Web Applications with Javascript or Java (Gerd Wagner, et al)","This textbook shows how to design and implement them, using a model-based engineering approach that covers general information management concepts and techniques and the two most relevant technology platforms: JavaScript and Java.",https://freecomputerbooks.com/Web-Applications-with-Javascript-or-Java.html
 Next Generation HTML5 and JavaScript (InfoQ),JavaScript is chaotic. The pace of change is faster than ever and it seems like a new framework or important library pops up every couple of weeks. A major shift in the language is about to hit when ECMAScript 6 is finalized this year.,https://freecomputerbooks.com/Next-Generation-HTML5-and-JavaScript.html
 Modern Web Essentials Using JavaScript and HTML5 (David Pitt),"This book provides tools for a thorough understanding of three topics integral to effective enterprise-level, web SPA development: JavaScript language essentials, HTML5 specification features, and responsive design principles.",https://freecomputerbooks.com/Modern-Web-Essentials-Using-JavaScript-and-HTML5.html
 ppk on JavaScript (Peter-Paul Koch),"This book uses eight real-world scripts the author created for real-world clients in order to earn real-world money. It provides chapters on the context (jobs for JavaScript, CSS, DOM), the browsers (debugging, browser string), and script preparation, etc.",https://freecomputerbooks.com/ppk-on-JavaScript.html
 JavaScript Allong (Reginald Braithwaite),"This book teaches you how to handle complex JavaScript code, and it also teaches you how to simplify JavaScript code without dumbing it down.",https://freecomputerbooks.com/JavaScript-Allonge.html
 O'Reilly® JavaScript and HTML5 Now (Kyle Simpson),This insightful overview provides striking examples of how JavaScript and HTML5 have teamed up to give the Web a truly open platform.,https://freecomputerbooks.com/JavaScript-and-HTML5-Now.html
 HTML Canvas Deep Dive (Josh Marinacci),"A painstakingly crafted, expertly written, code-fueled, no-nonsense deep dive into HTML5 Canvas printed in full color with syntax-highlighted code listings throughout, written for experienced software developers with an intermediate-level understanding of JavaScript.",https://freecomputerbooks.com/HTML-Canvas-Deep-Dive.html
 Essential HTML5 Canvas (Krzysztof Kowalczyk),This book provides clear and concise explanation of topics for programmers both starting to learn the HTML5 Canvas as well as those diving in more complex topics. Examples are linked to online playground that allows you to play with them.,https://freecomputerbooks.com/Essential-HTML5-Canvas.html
" Sams Teach Yourself JavaScript in 24 Hours, 4th Edition","The book is written in a clear and personable style with an extensive use of practical, complete examples.",https://freecomputerbooks.com/Sams-Teach-Yourself-JavaScript-in-24-Hours.html
 Developing Single Page Web Apps with Backbone.js (Prateek Dayal),"This book wants to show you how to build real world applications using Backbone.js. Unlike many books on backbone.js, this one is based on (and talks of) a real world application used by hundreds of companies and thousands of people.",https://freecomputerbooks.com/Developing-Single-Page-Web-Apps-with-Backbone.js.html
 Recipes with Angular.js (Frederik Dietz),"If you are using Angular.js, or considering it, this cookbook provides easy to follow recipes for issues you are likely to face. Each recipe solves a specific problem and provides a solution and in-depth discussion of it.",https://freecomputerbooks.com/Recipes-with-Angular.js.html
 Express.js Guide: The Comprehensive Book on Express.js,"This book is the in-depth, detailed, hand-on manual on Express.js, a web application framework for the most popular Node.js framework.",https://freecomputerbooks.com/Express.js-Guide.html
 O'Reilly® Developing Backbone.js Applications (Addy Osmani),This book provides all the information you need to create structured JavaScript applications using Backbone.js and its unique flavor of the MVC architecture.,https://freecomputerbooks.com/Developing-Backbone.js-Applications.html
 Node.js Succinctly (Agus Kurniawan),"You will learn the basics of Node.js: non-blocking I/O, the event loop, modules, and the Node.js runtime environment. From there, you will dive into building practical solutions that interact with filesystems and streams, access databases, handle web server message queuing, and more.",https://freecomputerbooks.com/Node.js-Succinctly.html
 AngularJS Succinctly (Frederik Dietz),"This book teaches how to design, and create reusable components in your single-page web application using Angular.js. It outlines common tasks and challenges for developers using Angular.js.",https://freecomputerbooks.com/AngularJS-Succinctly.html
 O'Reilly® Interactive Data Visualization for the Web,"You'll start with an overview of data visualization concepts and simple web technologies, and then learn how to use D3.js, a JavaScript library that lets you express data as visual elements in a web page.",https://freecomputerbooks.com/Interactive-Data-Visualization-for-the-Web.html
 Twitter Bootstrap 3 Succinctly (Peter Shaw),"This book builds on Twitter Bootstrap Succinctly to provide up-to-date information on the latest version of the software. Developers will transition smoothly into the newest version of Twitter Bootstrap, which boasts an emphasis on mobile development.",https://freecomputerbooks.com/Twitter-Bootstrap-3-Succinctly.html
" Twitter Bootstrap Succinctly: Design Attractive, Consistent UIs","You'll learn how to add Twitter Bootstrap to an existing project, and use it to customize attractive buttons, tabs, breadcrumbs, dropdowns, and more. There are even chapters dedicated to optional JavaScript and extensions of Twitter Bootstrap.",https://freecomputerbooks.com/Twitter-Bootstrap-Succinctly.html
 D3 Tips and Tricks: Interactive Data Visualization in Web Browsers,This book is written to help those who may be unfamiliar with JavaScript or web page creation get started turning information into visualization using D3.js.,https://freecomputerbooks.com/D3-Tips-and-Tricks.html
 Leaflet Tips and Tricks: Interactive Maps with leaflet.js,This book will help you learn how to create maps with the Leaflet JavaScript library (leaflet.js) through a series of step-by-step recipes to achieve great dynamic and interactive slippy maps..,https://freecomputerbooks.com/Leaflet-Tips-and-Tricks.html
 JavaScript: The Right Way (William Oliveira),"This free book is an easy-to-read, quick reference for JavaScript best practices, accepted coding standards, and links around the Web.",https://freecomputerbooks.com/JavaScript-The-Right-Way.html
 O'Reilly® Node: Up and Running - Scalable Server-Side Code,"This book introduces you to Node.js, the new web development framework written in JavaScript.",https://freecomputerbooks.com/Up-and-Running-with-Node-JS.html
 The Node Beginner Book: A Comprehensive Node.js Tutorial,"The aim of this book is to get you started with developing applications for Node.js, teaching you everything you need to know about advanced JavaScript along the way.",https://freecomputerbooks.com/The-Node-Beginner-Book.html
 AngularJS Fundamentals In 60-ish Minutes (Dan Wahlin),"You'll learn how to get started with the AngularJS framework and some of the key features it provides that simplify Single-Page Application (SPA) development. You'll see how to use directives, filters and data binding techniques to capture and display data.",https://freecomputerbooks.com/AngularJS-Fundamentals-In-60-ish-Minutes.html
 O'Reilly® JS.next: A Manager's Guide (Aaron Frost),"This book educates JavaScript developers, from novice to expert, about the impact that ECMAScript 6 has had on the language, and demonstrates the powerful new constructs that are accessible in the ECMAScript 6 API.",https://freecomputerbooks.com/JS-next-A-Managers-Guide.html
 Knockout.js Succinctly (Ryan Hodson),"This book is intended for professional web developers who need to build dynamic, scalable user interfaces with minimal code using Knockout.js.",https://freecomputerbooks.com/Knockoutjs-Succinctly.html
 JavaScript Succinctly (Cody Lindley),"It gives readers an accurate, concise examination of JavaScript objects and their supporting nuances, such as complex values, primitive values, scope, inheritance, etc.",https://freecomputerbooks.com/JavaScript-Succinctly.html
 Building Blockchain Projects (Narayan Prusty),"This book will teach you what Blockchain is, how it maintains data integrity, and how to create real-world Blockchain projects using Ethereum. It is for JavaScript developers who now want to create tamper-proof data (and transaction) apps using Blockchain.",https://freecomputerbooks.com/Building-Blockchain-Projects.html
 DOM Enlightenment (Cody Lindley),"This book explories the relationship between JavaScript and the modern HTML DOM, without the use of a library/framework. It is not an exhaustive reference on DOM scripting or JavaScript.",https://freecomputerbooks.com/DOM-Enlightenment.html
 jQuery Succinctly (Cody Lindley),"This book teaches web developers how to use jQuery. The book is targeted at somewhat experienced developers, who already know HTML, DOM, and JavaScript.",https://freecomputerbooks.com/jQuery-Succinctly.html
 Backbone Tutorials (Thomas Davis),This book aims to get developers up to speed with single page web application development using Backbone.js as a foundation.,https://freecomputerbooks.com/Backbone-Tutorials.html
" Programming Windows 8 Apps with HTML, CSS & JavaScript","Apply your existing skills with HTML, CSS, and JavaScript?and start building your own Windows 8 apps now.",https://freecomputerbooks.com/Programming-Windows-Store-Apps-with-HTML-CSS-and-JavaScript.html
" Building Android Apps with HTML, CSS & JavaScript, 2nd Edition",This hands-on book shows you how to use these open source web standards to design and build apps that can be adapted for any Android device - without using Java.,https://freecomputerbooks.com/Building-Android-Apps-with-HTML-CSS-and-JavaScript-2nd-Edition.html
 Mixu's Node Book: A Book About Using Node.js (M. Takada),"This book is an example-driven tutorial that starts at square one and goes through all the features, techniques, and concepts needed to build production-quality Node apps.",https://freecomputerbooks.com/Mixus-Node-Book.html
" Go for Javascript Developers (Maor Zamski, et al)","This book compares between two programming languages, Golang (or ""Go"") and ECMAScript (or ""Javascript"" / ""JS""). The merits of this pairing is the popularity of these languages. That's it. They are not similar, in fact, they are quite different.",https://freecomputerbooks.com/Go-for-Javascript-Developers.html
 Gulp Succinctly (Kris van der Mast),"Gulp is an easy-to learn, easy-to-use JavaScript task runner that has become an industry standard. This book offers an entry to Gulp for experienced developers. With practical examples and clear descriptions, making it the perfect entry point.",https://freecomputerbooks.com/Gulp-Succinctly.html
 jQuery Fundamentals (Rebecca Murphey),"You'll discover how the jQuery library separates itself from other JavaScript libraries through its ease of use, compactness, and friendliness.",https://freecomputerbooks.com/jQuery-Fundamentals.html
 WordPress and Ajax: An In-depth Guide (Ronald Huereca),This e-book is a comprehensive view on using Ajax with WordPress. It covers Ajax like you've never seen before.,https://freecomputerbooks.com/Wordpress-and-Ajax.html
 O'Reilly® What Is Node? JavaScript Breaks Out of the Browser,"This short book introduces you to Node.js, the new web development framework written in JavaScript.",https://freecomputerbooks.com/What-Is-Node.html
" Building iPhone Apps with HTML, CSS, and JavaScript","If you know HTML, CSS, and JavaScript, you already have the tools you need to develop your own iPhone apps.",https://freecomputerbooks.com/Building-iPhone-Apps-with-HTML-CSS-and-JavaScript.html
 Essential JavaScript and JQuery Design Patterns (Osmani),"This book will take a look at a number of popular JavaScript and JQuery design patterns and explore why certain patterns may be more suitable for your projects than others. Patterns can be applied not just to vanilla JavaScript, but also to abstracted libraries.",https://freecomputerbooks.com/Essential-JavaScript-Design-Patterns.html
 Google Maps API Tutorial (Mike Williams),It will provide the reader with the skills and knowledge necessary to incorporate Google Maps version 3 on web pages in both desktop and mobile browsers..,https://freecomputerbooks.com/Google-Maps-API-Tutorial.html
" The Web Book: Guide to HTML, CSS, JavaScript, PHP and MySQL","This book teaches you how to create web sites and applications with HTML, CSS, Javascript, PHP and MySQL.",https://freecomputerbooks.com/The-Web-Book.html
 Building A JavaScript Framework (Alex Young),This book is a guide to building a JavaScript framework. It'll teach you how to build a framework and draw on real-world code from projects like jQuery. Along the way we'll explore some fundamental parts of modern JavaScript.,https://freecomputerbooks.com/Building-A-JavaScript-Framework.html
 Adobe Integrated Runtime (AIR) for JavaScript Developers,"This book explains how you can use AIR to build and deploy HTML and JavaScript-based web applications to the desktop, using all of the tools and technologies with which you are already familiar.",https://freecomputerbooks.com/Adobe-Integrated-Runtime-for-JavaScript-Developers-Pocket-Guide.html
 Testing with CoffeeScript (Jack Franklin),It will guide you through the creation of a shopping cart system using unit testing and Behaviour-driven Development (BDD) with the popular framework Jasmine.,https://freecomputerbooks.com/Testing-with-CoffeeScript.html
 Smooth CoffeeScript (E. Hoigaard),This is a book about CoffeeScript and programming. No previous programming knowledge is required.,https://freecomputerbooks.com/Smooth-CoffeeScript.html
 O'Reilly® The Little Book on CoffeeScript (Alex MacCaw),"This book shows JavaScript developers how to build superb web applications with CoffeeScript, the remarkable little language that's gaining considerable interest.",https://freecomputerbooks.com/The-Little-Book-on-CoffeeScript.html
 O'Reilly® JavaScript Cookbook: Programming the Web,"Problem solving with JavaScript is a lot trickier now that its use has expanded considerably in size, scope, and complexity.",https://freecomputerbooks.com/JavaScript-Cookbook.html
 O'Reilly® Modern JavaScript: A Curated Collection,"This book gets you started, bringing together concepts that are helpful to understand before tackling your next modern JavaScript app. You'll learn about the scope and challenges that await you in the world of modern web development.",https://freecomputerbooks.com/Modern-JavaScript-A-Curated-Collection.html
 O'Reilly® Programming 3D Applications with HTML5 and WebGL,"With this book, you'll learn hands-on how to take your website's production values to a new level by incorporating 3D models and animations, mind-blowing visual effects, and advanced user interaction.",https://freecomputerbooks.com/Programming-3D-Applications-with-HTML5-and-WebGL.html
 O'Reilly® Dojo: The Definitive Guide (Matthew A. Russell),"This book gives you the most thorough overview of this toolkit available, and demonstrates how to tame Dojo's extensive library of utilities so that you can build rich and responsive web applications like never before.",https://freecomputerbooks.com/Dojo-The-Definitive-Guide.html
 O'Reilly® Web Audio API (Boris Smus),"Introducing you to digital audio concepts, then shows you how the Web Audio API solves specific application audio problems. You'll not only learn how to synthesize and process digital audio, you'll also explore audio analysis and visualization with this API.",https://freecomputerbooks.com/Web-Audio-API.html
 O'Reilly® Programming JavaScript Applications (Eric Elliott),It will take your existing JavaScript skills to the next level and learn how to build complete web scale or enterprise applications that are easy to extend and maintain.,https://freecomputerbooks.com/Programming-JavaScript-Applications.html
 Beyond the Basic Stuff with Python: Writing Clean Code,"More than a mere collection of advanced syntax and masterful tips for writing clean code, advance your Python programming skills by using the command line and other professional tools like code formatters, type checkers, linters, and version control.",https://freecomputerbooks.com/Beyond-the-Basic-Stuff-with-Python-Best-Practices-for-Writing-Clean-Code.html
" Python Packages (Tomas Beuzen, et al.)","An open source book that describes modern and efficient workflows for creating Python packages. Covering the entire Python packaging life cycle, this essential guide takes readers from package creation all the way to effective maintenance and updating.",https://freecomputerbooks.com/Python-Packages.html
" Deep Learning with Python, 2nd Edition (Francois Chollet)","This book introduces the field of deep learning using Python and the powerful Keras library. It offers insights for both novice and experienced machine learning practitioners, and builds your understanding through intuitive explanations and practical examples.",https://freecomputerbooks.com/Deep-Learning-with-Python.htm
" Architecture Patterns with Python (Harry Percival, et al.)","Enabling Test-Driven Development, Domain-Driven Design, and Event-Driven Microservices, it introduces proven architectural design patterns to help Python developers manage application complexity, and get the most value out of their test suites.",https://freecomputerbooks.com/Architecture-Patterns-with-Python.html
 Clean Architectures in Python: Better Software Design,"The clean architecture is the opposite of spaghetti code, where everything is interlaced and there are no single elements that can be easily detached from the rest and replaced without the whole system collapsing.",https://freecomputerbooks.com/Clean-Architectures-in-Python.html
 Automate the Boring Stuff with Python (Albert Sweigart),Learn how to use Python to write programs that do in minutes what would take you hours to do by hand - no prior programming experience required. You'll create Python programs that effortlessly perform useful and impressive feats of automation.,https://freecomputerbooks.com/Automate-the-Boring-Stuff-with-Python.html
 Python for Everybody: Exploring Data in Python 3,This book is designed to introduce students to programming and software development through the lens of exploring data. You can think of the Python programming language as your tool to solve data problems that are beyond the capability of a spreadsheet.,https://freecomputerbooks.com/Python-for-Everybody-Exploring-Data%20in-Python-3.html
 Problem Solving with Algorithms/Data Structures using Python,"This is a textbook about computer science. It is also about Python. However, there is much more. The tools and techniques that you learn here will be applied over and over as you continue your study of computer science.",https://freecomputerbooks.com/Problem-Solving-with-Algorithms-and-Data-Structures-Using-Python.html
 Fundamentals of Python Programming (Richard L. Halterman),"It focuses on introducing programming techniques and developing good habits. To that end, our approach avoids some of the more esoteric features of Python and concentrates on the programming basics that transfer directly to other imperative programming.",https://freecomputerbooks.com/Fundamentals-of-Python-Programming-by-Richard-Halterman.html
" O'Reilly® Think Python, 2nd Edition (Allen B. Downey)","This hands-on guide takes you through the Python programming language a step at a time, beginning with basic programming concepts before moving on to functions, recursion, data structures, and object-oriented design. 2nd edition updated for Python 3.",https://freecomputerbooks.com/Think-Python-2nd-Edition.html
 The Big Book of Small Python Projects: 81 Easy Practice Programs,"This book demonstrates how to combine different libraries and frameworks to build amazing things. It picks up where the complete beginner books leave off, expanding on existing concepts and introducing new tools that you'll use every day.",https://freecomputerbooks.com/The-Big-Book-of-Small-Python-Projects.html
 Practical Python Projects (Yasoob Khalid),"This collection of 81 Python projects will have you making digital art, games, animations, counting programs, and more right away. Once you see how the code works, you’ll practice re-creating the programs and experiment by adding your own custom touches.",https://freecomputerbooks.com/Practical-Python-Projects.html
