title,url
 O'Reilly® Managing Projects with GNU Make (Mecklenburg),https://freecomputerbooks.com/Managing-Projects-with-GNU-Make.html
 Excel Add-in Development in C/C++: Applications in Finance,https://freecomputerbooks.com/Excel-Add-in-Development-in-C-Cpp.html
 The Cg Tutorial: Guide to Programmable Real-Time Graphics ©2003,https://freecomputerbooks.com/the-cg-tutorial-the-definitive-guide-to-programmable-real-time-graphics.html
 Wireless Game Development in C/C++ with BREW (Barbagallo),https://freecomputerbooks.com/Wireless-Game-Development-in-C-Cpp-with-BREW.html
 Developing and Porting C and C++ Applications on Aix,https://freecomputerbooks.com/Developing-and-Porting-C-an-Cpp-Applications-on-Aix%20.html
 Virtual Machine Design and Implementation in C/C++,https://freecomputerbooks.com/Virtual-Machine-Design-and-Implementation-C-Cpp.html
" Image Processing in C, 2nd Edition (Dwayne Philipps)",https://freecomputerbooks.com/image_processing_in_c_analyzing_and_enhancing_digital_images.html
 Writing Bug-Free C Code: Automatically Detects Bugs in C Code,https://freecomputerbooks.com/Writing-Bug-Free-C-Code.html
 No Bugs! Delivering Error-Free Code in C and C++ (Thielen),https://freecomputerbooks.com/No-Bugs.html
 Numerical Recipes in C: The Art of Scientific Computing,https://freecomputerbooks.com/Numerical-Recipes-in-C-Second-Edition.html
 Scheme 9 from Empty Space: A Guide to Implementing Scheme in C,https://freecomputerbooks.com/Scheme-9-from-Empty-Space.html
 Reverse Engineering for Beginners (Dennis Yurichev),https://freecomputerbooks.com/Reverse-Engineering-for-Beginners.html
 Learn C The Hard Way: Modern C Programming (Zed Shaw),https://freecomputerbooks.com/Learn-C-The-Hard-Way.html
