title,url
" Why Rust? Trustworthy, Concurrent Systems Programming",https://freecomputerbooks.com/Why-Rust-Trustworthy-Concurrent-Systems-Programming.html
" The Rust Programming Language (Steve Klabnik, et al)",https://freecomputerbooks.com/The-Rust-Programming-Language.html
 A Gentle Introduction To Rust (Steve J Donovan),https://freecomputerbooks.com/A-Gentle-Introduction-To-Rust.html
 Rust by Example (Rust Community),https://freecomputerbooks.com/Rust-by-Example.html
 Rust for C++ Programmers (Nick Cameron),https://freecomputerbooks.com/Rust-for-Cpp-Programmers.html
